cluster,slice_index,slice_area_mm2
2,151,0.0
2,152,0.0
2,153,0.0
2,154,0.0
2,155,0.0
2,156,0.0
2,157,0.0
2,158,0.0
2,159,0.0
2,160,0.0
2,161,0.0
2,162,0.0
2,163,0.0
2,164,0.0
2,165,0.0
2,166,0.0
2,167,0.0
2,168,0.0
2,169,0.0
2,170,0.0
2,171,0.0
2,172,0.0
2,173,0.0
2,174,0.0
2,175,0.0
2,176,0.0
2,177,0.0
2,178,0.0
2,179,0.0
2,180,0.0
2,181,0.0
2,182,0.0
2,183,0.0
2,184,0.0
2,185,0.0
2,186,0.0
2,187,0.0
2,188,0.0
2,189,0.0
2,190,0.0
2,191,0.0
2,192,0.0
2,193,0.0
2,194,0.0
2,195,0.0
2,196,0.0
2,197,0.0
2,198,0.0
2,199,0.0
2,200,0.0
2,201,0.0
2,202,0.0
2,203,0.0
2,204,0.0
2,205,0.0
2,206,0.0
2,207,0.0
2,208,0.0
2,209,0.0
2,210,0.0
2,211,0.0
2,212,0.0
2,213,0.0
2,214,0.0
2,215,0.0
2,216,0.0
2,217,0.0
2,218,0.0
2,219,0.0
2,220,0.0
2,221,0.0
2,222,0.0
2,223,0.0
2,224,0.0
2,225,0.0
2,226,0.0
2,227,0.0
2,228,0.0
2,229,0.0
2,230,0.0
2,231,0.0
2,232,0.0
2,233,0.0
2,234,0.0
2,235,0.0
2,236,0.0
2,237,0.0
2,238,0.0
2,239,0.0
2,240,0.0
2,241,0.0
2,242,0.0
2,243,0.0
2,244,0.0
2,245,0.0
2,246,0.0
2,247,0.0
2,248,0.0
2,249,0.0
2,250,0.0
2,251,0.0
2,252,0.0
2,253,0.0
2,254,0.0
2,255,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,56.25
1,14,150.0
1,15,150.0
1,16,187.5
1,17,187.5
1,18,187.5
1,19,225.0
1,20,225.0
1,21,243.75
1,22,318.75
1,23,318.75
1,24,375.0
1,25,487.5
1,26,487.5
1,27,487.5
1,28,487.5
1,29,506.25
1,30,600.0
1,31,600.0
1,32,712.5
1,33,750.0
1,34,750.0
1,35,768.75
1,36,768.75
1,37,750.0
1,38,750.0
1,39,750.0
1,40,787.5
1,41,881.25
1,42,881.25
1,43,956.25
1,44,956.25
1,45,900.0
1,46,1031.25
1,47,1031.25
1,48,993.75
1,49,993.75
1,50,993.75
1,51,975.0
1,52,975.0
1,53,900.0
1,54,862.5
1,55,862.5
1,56,825.0
1,57,787.5
1,58,787.5
1,59,862.5
1,60,862.5
1,61,825.0
1,62,956.25
1,63,956.25
1,64,881.25
1,65,787.5
1,66,787.5
1,67,768.75
1,68,768.75
1,69,787.5
1,70,750.0
1,71,750.0
1,72,712.5
1,73,618.75
1,74,618.75
1,75,618.75
1,76,618.75
1,77,581.25
1,78,600.0
1,79,600.0
1,80,562.5
1,81,656.25
1,82,656.25
1,83,656.25
1,84,656.25
1,85,618.75
1,86,618.75
1,87,618.75
1,88,506.25
1,89,506.25
1,90,487.5
1,91,468.75
1,92,468.75
1,93,412.5
1,94,356.25
1,95,356.25
1,96,431.25
1,97,431.25
1,98,412.5
1,99,375.0
1,100,375.0
1,101,375.0
1,102,375.0
1,103,375.0
1,104,356.25
1,105,356.25
1,106,318.75
1,107,243.75
1,108,243.75
1,109,243.75
1,110,206.25
1,111,206.25
1,112,187.5
1,113,187.5
1,114,150.0
1,115,150.0
1,116,150.0
1,117,93.75
1,118,93.75
1,119,93.75
1,120,18.75
1,121,18.75
1,122,0.0
1,123,0.0
1,124,0.0
1,125,0.0
1,126,0.0
1,127,0.0
1,128,0.0
1,129,0.0
1,130,0.0
1,131,0.0
1,132,0.0
1,133,0.0
1,134,0.0
1,135,0.0
1,136,0.0
1,137,0.0
1,138,0.0
1,139,0.0
1,140,0.0
1,141,0.0
1,142,0.0
1,143,0.0
1,144,0.0
1,145,0.0
1,146,0.0
1,147,0.0
1,148,0.0
1,149,0.0
1,150,0.0
1,151,0.0
1,152,0.0
1,153,0.0
1,154,0.0
1,155,0.0
1,156,0.0
1,157,0.0
1,158,0.0
1,159,0.0
1,160,0.0
1,161,0.0
1,162,0.0
1,163,0.0
1,164,0.0
1,165,0.0
1,166,0.0
1,167,0.0
1,168,0.0
1,169,0.0
1,170,0.0
1,171,0.0
1,172,0.0
1,173,0.0
1,174,0.0
1,175,0.0
1,176,0.0
1,177,0.0
1,178,0.0
1,179,0.0
1,180,0.0
1,181,0.0
1,182,0.0
1,183,0.0
1,184,0.0
1,185,0.0
1,186,0.0
1,187,0.0
1,188,0.0
1,189,0.0
1,190,0.0
1,191,0.0
1,192,0.0
1,193,0.0
1,194,0.0
1,195,0.0
1,196,0.0
1,197,0.0
1,198,0.0
1,199,0.0
1,200,0.0
1,201,0.0
1,202,0.0
1,203,0.0
1,204,0.0
1,205,0.0
1,206,0.0
1,207,0.0
1,208,0.0
1,209,0.0
1,210,0.0
1,211,0.0
1,212,0.0
1,213,0.0
1,214,0.0
1,215,0.0
1,216,0.0
1,217,0.0
1,218,0.0
1,219,0.0
1,220,0.0
1,221,0.0
1,222,0.0
1,223,0.0
1,224,0.0
1,225,0.0
1,226,0.0
1,227,0.0
1,228,0.0
1,229,0.0
1,230,0.0
1,231,0.0
1,232,0.0
1,233,0.0
1,234,0.0
1,235,0.0
1,236,0.0
1,237,0.0
1,238,0.0
1,239,0.0
1,240,0.0
1,241,0.0
1,242,0.0
1,243,0.0
1,244,0.0
1,245,0.0
1,246,0.0
1,247,0.0
1,248,0.0
1,249,0.0
1,250,0.0
1,251,0.0
1,252,0.0
1,253,0.0
1,254,0.0
1,255,0.0
